TEMP PH ORP EC TDS SAL SG DO SAT TIME
4.396 8.10 110.60 23610.00 12751.00 13.61 1.01 111.96 0.00 0:37:45 D/M/Y:31/12/2095
4.388 8.09 110.60 23520.00 12705.00 13.55 1.01 112.18 0.00 0:38:2 D/M/Y:31/12/2095
4.386 8.10 110.60 23520.00 12700.00 13.55 1.01 112.41 0.00 0:38:18 D/M/Y:31/12/2095
4.392 8.10 110.80 23550.00 12721.00 13.57 1.01 113.19 0.00 0:38:34 D/M/Y:31/12/2095
4.389 8.10 110.60 23620.00 12755.00 13.61 1.01 113.57 0.00 0:38:50 D/M/Y:31/12/2095
4.388 8.10 110.70 23630.00 12762.00 13.62 1.01 112.45 0.00 0:39:4 D/M/Y:31/12/2095
4.387 8.10 110.70 23680.00 12789.00 13.65 1.01 113.23 0.00 0:39:20 D/M/Y:31/12/2095
4.381 8.10 110.60 23680.00 12792.00 13.66 1.01 111.44 0.00 0:39:36 D/M/Y:31/12/2095
4.378 8.10 110.60 23750.00 12826.00 13.70 1.01 112.45 0.00 0:39:52 D/M/Y:31/12/2095
4.386 8.10 110.70 23760.00 12832.00 13.70 1.01 112.72 0.00 0:40:7 D/M/Y:31/12/2095
4.381 8.10 110.50 23750.00 12826.00 13.70 1.01 111.74 0.00 0:40:23 D/M/Y:31/12/2095
4.380 8.09 110.50 23700.00 12798.00 13.66 1.01 113.35 0.00 0:40:39 D/M/Y:31/12/2095
4.373 8.10 110.70 23650.00 12773.00 13.63 1.01 114.65 0.00 0:40:55 D/M/Y:31/12/2095
4.371 8.09 110.60 23610.00 12750.00 13.61 1.01 110.80 0.00 0:41:11 D/M/Y:31/12/2095
4.368 8.09 110.70 23360.00 12617.00 13.45 1.01 113.97 0.00 0:41:27 D/M/Y:31/12/2095
4.366 8.09 110.50 23570.00 12731.00 13.59 1.01 112.87 0.00 0:41:43 D/M/Y:31/12/2095
4.364 8.10 110.70 23590.00 12739.00 13.59 1.01 113.33 0.00 0:41:59 D/M/Y:31/12/2095
4.358 8.09 110.60 23590.00 12740.00 13.60 1.01 112.70 0.00 0:42:15 D/M/Y:31/12/2095
4.353 8.10 110.50 23590.00 12742.00 13.60 1.01 113.99 0.00 0:42:31 D/M/Y:31/12/2095
4.359 8.10 110.60 23620.00 12758.00 13.62 1.01 111.77 0.00 0:42:47 D/M/Y:31/12/2095
4.362 8.09 110.60 23640.00 12766.00 13.63 1.01 113.38 0.00 0:43:3 D/M/Y:31/12/2095
4.359 8.10 110.60 23630.00 12764.00 13.62 1.01 113.17 0.00 0:43:19 D/M/Y:31/12/2095
4.323 8.10 110.70 23620.00 12757.00 13.62 1.01 112.69 0.00 0:43:35 D/M/Y:31/12/2095
4.337 8.10 110.50 23570.00 12731.00 13.59 1.01 113.17 0.00 0:43:51 D/M/Y:31/12/2095
4.336 8.09 110.70 23630.00 12763.00 13.62 1.01 113.45 0.00 0:44:7 D/M/Y:31/12/2095
4.346 8.10 110.70 23630.00 12765.00 13.62 1.01 112.88 0.00 0:44:23 D/M/Y:31/12/2095
4.346 8.10 110.60 23640.00 12765.00 13.63 1.01 113.12 0.00 0:44:39 D/M/Y:31/12/2095
