

TEMP PH ORP EC TDS SAL SG DO SAT TIME
19.914 3.97 238.50 0.00 0.00 0.00 1.00 9.34 102.60 17:17:39 D/M/Y:18/10/2017
20.071 3.98 238.20 0.00 0.00 0.00 1.00 9.14 100.60 17:22:40 D/M/Y:18/10/2017
20.072 3.98 238.00 0.00 0.00 0.00 1.00 9.15 100.70 17:27:40 D/M/Y:18/10/2017
20.079 3.98 237.70 0.00 0.00 0.00 1.00 9.27 102.10 17:32:41 D/M/Y:18/10/2017
20.077 3.98 237.30 0.00 0.00 0.00 1.00 9.30 102.40 17:37:42 D/M/Y:18/10/2017
20.052 3.98 236.70 0.00 0.00 0.00 1.00 9.22 101.50 17:42:42 D/M/Y:18/10/2017
20.046 3.98 235.90 0.00 0.00 0.00 1.00 9.25 101.90 17:47:43 D/M/Y:18/10/2017
20.069 3.98 235.10 0.00 0.00 0.00 1.00 9.08 100.00 17:52:44 D/M/Y:18/10/2017
20.213 3.98 234.60 0.00 0.00 0.00 1.00 9.11 100.30 17:57:44 D/M/Y:18/10/2017
20.211 3.98 233.90 0.00 0.00 0.00 1.00 8.98 99.10 18:2:45 D/M/Y:18/10/2017
20.181 3.98 233.20 0.00 0.00 0.00 1.00 9.24 102.10 18:7:46 D/M/Y:18/10/2017
20.021 3.98 232.40 0.00 0.00 0.00 1.00 9.02 99.60 18:12:46 D/M/Y:18/10/2017
20.022 3.98 231.90 0.00 0.00 0.00 1.00 9.09 100.00 18:17:47 D/M/Y:18/10/2017
20.020 3.98 231.00 0.00 0.00 0.00 1.00 9.31 102.50 18:22:48 D/M/Y:18/10/2017
20.029 3.98 230.30 0.00 0.00 0.00 1.00 9.35 102.90 18:27:49 D/M/Y:18/10/2017
20.039 3.98 229.80 0.00 0.00 0.00 1.00 9.27 102.00 18:32:49 D/M/Y:18/10/2017
20.017 3.98 228.90 0.00 0.00 0.00 1.00 9.29 102.20 18:37:50 D/M/Y:18/10/2017
20.018 3.98 228.20 0.00 0.00 0.00 1.00 9.32 102.60 18:42:51 D/M/Y:18/10/2017
20.021 3.98 227.20 0.00 0.00 0.00 1.00 9.31 102.40 18:47:51 D/M/Y:18/10/2017
20.025 3.98 226.50 0.00 0.00 0.00 1.00 9.29 102.20 18:52:52 D/M/Y:18/10/2017
19.987 3.98 225.30 0.00 0.00 0.00 1.00 9.34 102.80 18:57:53 D/M/Y:18/10/2017
20.000 3.98 224.60 0.00 0.00 0.00 1.00 9.31 102.40 19:2:53 D/M/Y:18/10/2017
20.016 3.98 223.80 0.00 0.00 0.00 1.00 9.30 102.30 19:7:54 D/M/Y:18/10/2017
20.009 3.98 223.00 0.00 0.00 0.00 1.00 9.27 102.00 19:12:55 D/M/Y:18/10/2017
20.003 3.98 222.00 0.00 0.00 0.00 1.00 9.10 100.10 19:17:55 D/M/Y:18/10/2017
19.988 3.98 221.10 0.00 0.00 0.00 1.00 9.39 103.30 19:22:56 D/M/Y:18/10/2017
19.982 3.98 220.10 0.00 0.00 0.00 1.00 9.14 100.50 19:27:57 D/M/Y:18/10/2017
19.976 3.98 219.40 0.00 0.00 0.00 1.00 9.22 101.40 19:32:57 D/M/Y:18/10/2017
19.953 3.98 218.10 0.00 0.00 0.00 1.00 9.36 102.80 19:37:58 D/M/Y:18/10/2017
19.943 3.98 217.30 0.00 0.00 0.00 1.00 9.25 101.70 19:42:59 D/M/Y:18/10/2017
19.905 3.98 216.50 0.00 0.00 0.00 1.00 9.33 102.50 19:47:59 D/M/Y:18/10/2017
19.892 3.98 215.70 0.00 0.00 0.00 1.00 9.35 102.70 19:53:0 D/M/Y:18/10/2017
19.868 3.98 214.80 0.00 0.00 0.00 1.00 9.22 101.10 19:58:1 D/M/Y:18/10/2017
19.788 3.98 214.20 0.00 0.00 0.00 1.00 9.40 103.10 20:3:1 D/M/Y:18/10/2017
19.774 3.98 213.20 0.00 0.00 0.00 1.00 9.43 103.20 20:8:2 D/M/Y:18/10/2017
19.777 3.98 212.20 0.00 0.00 0.00 1.00 9.15 100.20 20:13:3 D/M/Y:18/10/2017
19.751 3.98 211.40 0.00 0.00 0.00 1.00 9.21 100.80 20:18:3 D/M/Y:18/10/2017
19.720 3.98 210.60 0.00 0.00 0.00 1.00 9.46 103.50 20:23:4 D/M/Y:18/10/2017
19.705 3.98 209.80 0.00 0.00 0.00 1.00 9.39 102.70 20:28:5 D/M/Y:18/10/2017
19.541 3.98 208.90 0.00 0.00 0.00 1.00 9.45 103.30 20:33:5 D/M/Y:18/10/2017
19.561 3.98 208.00 0.00 0.00 0.00 1.00 9.46 103.20 20:38:6 D/M/Y:18/10/2017
